다나, 54, 189
아카, 98, 186
나사, 65, 171
파다, 97, 183
마아, 52, 158
바자, 71, 166
가라, 83, 173
라차, 51, 151
타자, 88, 196
라가, 49, 198
차나, 98, 185
바다, 50, 159
사파, 80, 190
자라, 58, 179
아파, 81, 177
마가, 40, 199
사다, 68, 185
타나, 54, 153
아마, 90, 159
사카, 73, 164
아카, 85, 151
아사, 59, 180
하카, 82, 195
나가, 52, 175
나다, 55, 178
자파, 76, 159
카나, 90, 197
카아, 56, 182
바자, 62, 181
라차, 57, 180
하나, 55, 177
아차, 92, 196
마카, 81, 169
타파, 92, 194
타다, 65, 173
파타, 83, 165
카사, 53, 190
카아, 52, 157
나사, 67, 152
라라, 54, 169
사가, 92, 154
아마, 88, 198
차타, 96, 174
나자, 62, 175
나파, 59, 177
파카, 55, 190
가나, 57, 163
바라, 48, 162
하차, 70, 169
아마, 68, 184
가다, 44, 191
사타, 58, 176
다가, 91, 175
차차, 81, 167
자타, 85, 151
자타, 63, 153
차사, 52, 195
카아, 40, 158
카마, 60, 151
차사, 73, 168
차가, 93, 160
파가, 50, 151
마가, 59, 187
파차, 51, 193
아다, 41, 191
차라, 53, 159
차바, 72, 171
카타, 56, 198
아사, 83, 177
가하, 45, 150
아카, 71, 164
라다, 88, 176
마라, 65, 186
가나, 79, 155
파자, 90, 158
자타, 66, 169
라사, 88, 159
하바, 53, 173
라바, 72, 191
라차, 45, 185
차나, 81, 164
마카, 94, 153
카카, 52, 160
타마, 78, 160
라자, 68, 169
다파, 99, 177
카파, 60, 195
바아, 92, 184
카마, 57, 191
나카, 68, 192
마바, 48, 174
라아, 84, 158
아라, 71, 196
파가, 51, 169
하자, 69, 164
차아, 42, 166
자아, 66, 190
아바, 61, 189
가마, 49, 152
바사, 52, 157
자바, 48, 157
아바, 67, 198
아타, 74, 186
바타, 62, 159
나바, 55, 155
나사, 95, 151
라자, 70, 189
차자, 72, 188
